no_                 ;order type code;Units;Order Date             ;Item category code;Brand Code
938945;ZT             ;                 47.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
938920;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
938924;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
938930;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
938990;ZT             ;                  12.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
938995;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
938955;ZT             ;                  7.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B1
938922;ZT             ;                 44.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B1
938925;ZT             ;                 407.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B1
938980;ZT             ;                  5.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B6
938988;ZT             ;                  3.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B6
938995;ZT             ;                  6.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B6
938996;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B6
938522;ZT             ;                  40.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
938856;ZT             ;                  7.00000000000000000000;2019-03-30 00:00:00.000;B                 ;B5
328206;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B4
389943;ZT             ;                  4.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B5
385296;ZT             ;                  5.00000000000000000000;2019-03-30 00:00:00.000;K                 ;B4
994569;ZT             ;                7012.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B4
994290;ZT             ;                4040.00000000000000000000;2020-02-20 00:00:00.000;B                 ;B4
934602;ZT             ;                900.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
933942;ZT             ;                4040.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994499;ZT             ;                4040.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994204;ZT             ;                540.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994265;ZT             ;                300.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994959;ZT             ;                   .00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994539;ZT             ;                7400.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994535;ZT             ;                4040.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994303;ZT             ;                4912.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994499;ZT             ;                4046.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
994282;ZS             ;                 712.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994258;ZS             ;                 712.00000000000000000000;2020-01-20 00:00:00.000;B                 ;B4
994259;ZS             ;                 712.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B4
994262;ZS             ;                 712.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B4
944926;ZT             ;                400.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994462;ZT             ;                4400.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994480;ZT             ;                4000.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994209;ZT             ;                4400.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994980;ZT             ;                 50.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994554;ZT             ;                400.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
994559;ZT             ;                4040.00000000000000000000;2020-01-02 00:00:00.000;B                 ;B4
925994;ZT             ;                300.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B4
